episode,reward,length
1,-26.790100659165397,28
2,-27.59357741035802,29
3,-26.786913646624196,28
4,-26.793583923532534,28
5,-27.6531434536502,29
6,-27.599194860457175,29
7,-27.701230252825503,29
8,-27.5795627130388,29
9,-27.55802596033851,29
10,-28.674975335148925,30
11,-26.796504142915875,28
12,-27.72204610008106,29
13,-27.567934219487057,29
14,-27.588989659387984,29
15,-26.77947354448516,28
16,-27.597530398157936,29
17,-26.770323217331477,28
18,-26.800884096216787,28
19,-27.61740189094243,29
20,-27.572977358948734,29
21,-26.766056515601072,28
22,-27.637553521911506,29
23,-26.797317891590556,28
24,-27.63774671840042,29
25,-27.670601958777986,29
26,-26.81318336133454,28
27,-26.793831183818913,28
28,-26.785152745854905,28
29,-27.582372874807575,29
30,-27.653466826691723,29
31,-26.770548099103173,28
32,-26.808539068771534,28
33,-27.643142801167297,29
34,-27.643750746943077,29
35,-28.527058079632727,30
36,-26.766435440646152,28
37,-26.774695882641005,28
38,-29.621771133416107,31
39,-26.792241176425634,28
40,-27.64839962174718,29
41,-27.621947425465898,29
42,-27.613884519087463,29
43,-26.7691985047437,28
44,-26.81033910754256,28
45,-27.686826218462134,29
46,-27.65110755372802,29
47,-26.80782147438748,28
48,-29.54516578799501,31
49,-27.639251504494883,29
50,-27.639701452128598,29
