episode,reward,length
1,-40.97364976821009,43
2,-54.01190083360437,57
3,-42.838422632049586,45
4,-42.87133207760221,45
5,-43.780947060450345,46
6,-48.44834610316056,51
7,-41.90376162622264,44
8,-50.310834410750104,53
9,-57.68326610687606,61
10,-41.91002678604588,44
11,-40.97305896836881,43
12,-44.689218963402325,47
13,-52.150088310205824,55
14,-49.38064267354765,52
15,-42.85768887561117,45
16,-48.454754515181286,51
17,-43.77011780931047,46
18,-40.0302219096358,42
19,-46.592783168083955,49
20,-51.23180265131728,54
21,-43.77408253253462,46
22,-48.455853516961504,51
23,-40.046467629910445,42
24,-46.61398144975726,49
25,-42.84072862065731,45
26,-40.012498876293186,42
27,-40.957993201441546,43
28,-41.89007852314069,44
29,-50.30095896384835,53
30,-46.5796923084127,49
31,-42.84186910282744,45
32,-39.095878407588465,41
33,-44.7110499209718,47
34,-44.70895359553908,47
35,-67.10850668009797,71
36,-42.85670189293341,45
37,-43.78928621170491,46
38,-45.660323846363795,48
39,-40.96490972386999,43
40,-43.79604013267172,46
41,-46.57703396187688,49
42,-47.52311593690103,50
43,-44.774040400093426,47
44,-39.08638415974951,41
45,-41.889749202113805,44
46,-43.79015642223182,46
47,-39.09970086886757,41
48,-47.51341782124232,50
49,-44.724421700674625,47
50,-44.72294973435895,47
