episode,reward,length
1,-26.790100659165397,28
2,-27.567041812099227,29
3,-26.786913646624196,28
4,-26.793583923532534,28
5,-27.652711915299065,29
6,-27.599194860457175,29
7,-26.781650120228022,28
8,-27.5795627130388,29
9,-27.55802596033851,29
10,-26.788227293381343,28
11,-26.796504142915875,28
12,-27.654521250008006,29
13,-27.567934219487057,29
14,-27.588989659387984,29
15,-26.77947354448516,28
16,-27.597530398157936,29
17,-26.770323217331477,28
18,-26.800884096216787,28
19,-27.61740189094243,29
20,-28.53250961381791,30
21,-26.766056515601072,28
22,-27.637553521911506,29
23,-26.797317891590556,28
24,-29.55761873614717,31
25,-26.7737786198766,28
26,-27.750463036615137,29
27,-26.793831183818913,28
28,-26.785152745854905,28
29,-27.582372874807575,29
30,-27.653466826691723,29
31,-27.726256647599453,29
32,-26.808539068771534,28
33,-27.643142801167297,29
34,-27.643750746943077,29
35,-27.585239167882833,29
36,-26.766435440646152,28
37,-26.774695882641005,28
38,-27.627781703305605,29
39,-26.792241176425634,28
40,-27.679158088364375,29
41,-27.621947425465898,29
42,-27.607450099696504,29
43,-26.7691985047437,28
44,-26.810270509388378,28
45,-26.791355403501253,28
46,-27.650087051692054,29
47,-26.80782147438748,28
48,-27.610312978035356,29
49,-27.639251504494883,29
50,-27.63967922092001,29
