episode,reward,length
1,-40.97364976821009,43
2,-51.252876702238474,54
3,-40.98659961976176,43
4,-40.95904895437492,43
5,-43.780947060450345,46
6,-48.44834610316056,51
7,-41.95235088320374,44
8,-50.310834410750104,53
9,-53.08081451624451,56
10,-40.98130630782501,43
11,-40.05006678298113,42
12,-43.77455826518625,46
13,-51.249652784409335,54
14,-49.38064267354765,52
15,-41.91210804310438,44
16,-48.4540352883972,51
17,-42.84268686603016,45
18,-40.0302219096358,42
19,-49.36194503152387,52
20,-51.23180265131728,54
21,-42.85805573911703,45
22,-44.73021568792591,47
23,-40.046467629910445,42
24,-45.64809350340024,48
25,-42.830032931303926,45
26,-40.010289914145005,42
27,-40.957993201441546,43
28,-41.89007852314069,44
29,-50.30095896384835,53
30,-43.77828551249981,46
31,-42.84186910282744,45
32,-39.095878407588465,41
33,-45.67058337761195,48
34,-45.67847353672469,48
35,-49.39365447958485,52
36,-43.8119793746267,46
37,-41.93004252418006,44
38,-45.660323846363795,48
39,-40.96473630049232,43
40,-43.79604013267172,46
41,-46.57703396187688,49
42,-49.40707368646115,52
43,-43.81208929008923,46
44,-39.08638415974951,41
45,-40.96844696625948,43
46,-43.79015642223182,46
47,-39.09970086886757,41
48,-47.51341782124232,50
49,-44.72441404191471,47
50,-44.72294973435895,47
